,Anthony,Kory,Matthew,beau,Patrick,michael,Erik,Spencer,blake,Jarrod,Terry,Chase
QB,Carson Wentz,Lamar Jackson,Cam Newton,Dak Prescott,Jared Goff,Patrick Mahomes,Baker Mayfield,Matt Ryan,Russell Wilson,Josh Allen,Drew Brees,Deshaun Watson
WR1,Sammy Watkins,JuJu Smith-Schuster,Robert Woods,Mike Evans,Keenan Allen,DeAndre Hopkins,Michael Thomas,Davante Adams,Adam Thielen,Tyler Lockett,Alshon Jeffery,Julian Edelman
WR2,Antonio Brown,Chris Godwin,Michael Gallup,Josh Gordon,Tyler Boyd,John Ross III,Odell Beckham Jr.,Julio Jones,Kenny Golladay,Jarvis Landry,Emmanuel Sanders,DJ Moore
WR3,,,,,,,,,,,,
RB1,Alvin Kamara,Le'Veon Bell,Christian McCaffrey,Kerryon Johnson,Saquon Barkley,Chris Carson,Josh Jacobs,David Montgomery,Ezekiel Elliott,David Johnson,James Conner,Todd Gurley II
RB2,Mark Ingram II,Matt Breida,Nick Chubb,Marlon Mack,Leonard Fournette,James White,Austin Ekeler,Miles Sanders,Aaron Jones,Joe Mixon,Derrick Henry,Damien Williams
TE,George Kittle,Zach Ertz,Austin Hooper,O.J. Howard,Delanie Walker,Travis Kelce,T.J. Hockenson,Vance McDonald,Greg Olsen,Evan Engram,Jimmy Graham,David Njoku
W/R/T,Cooper Kupp,Brandin Cooks,John Brown,Dalvin Cook,T.Y. Hilton,Danny Amendola,Stefon Diggs,Amari Cooper,Duke Johnson,Devonta Freeman,Tarik Cohen,Allen Robinson II
BN1,Calvin Ridley,Curtis Samuel,Phillip Lindsay,Sony Michel,Jared Cook,Mecole Hardman,Kenyan Drake,Kyler Murray,Aaron Rodgers,Adrian Peterson,Tyreek Hill,Nyheim Hines
BN2,Darrell Henderson Jr.,Justice Hill,Mike Williams,Marquez Valdes-Scantling,Christian Kirk,Dion Lewis,Latavius Murray,Mark Andrews,Chris Thompson,Melvin Gordon III,Hunter Henry,Larry Fitzgerald
BN3,Rashaad Penny,Courtland Sutton,Robby Anderson,LeSean McCoy,Devin Singletary,Tevin Coleman,Alexander Mattison,Eric Ebron,Will Fuller V,Carlos Hyde,Jordan Howard,Ben Roethlisberger
BN4,Ito Smith,Marquise Brown,Royce Freeman,Justin Jackson,Kareem Hunt,A.J. Green,Cole Beasley,Jamison Crowder,Sterling Shepard,Darren Waller,DK Metcalf,Trey Burton
BN5,Dare Ogunbowale,Rex Burkhead,Jaylen Samuels,Raheem Mostert,Peyton Barber,Tom Brady,Tyrell Williams,Kalen Ballage,DeSean Jackson,Terry McLaurin,Geronimo Allison,Kyle Rudolph
BN6,Malcolm Brown,Gus Edwards,James Washington,Dallas,Giovani Bernard,Jacksonville,Corey Davis,Houston,Ty Montgomery,Demaryius Thomas,Randall Cobb,Los Angeles
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Jake Elliott,Brett Maher,Jason Myers,Ka'imi Fairbairn,Matt Prater,Robbie Gould,Mason Crosby,Greg Zuerlein,Stephen Gostkowski,Wil Lutz,Harrison Butker,Justin Tucker
DEF,Baltimore,Denver,Cleveland,San Francisco,New Orleans,Tennessee,Carolina,Chicago,New England,Buffalo,Los Angeles,Minnesota
